X Y gold_grade
-2128.64 -25041.36 78.7747
-2141.83 -25038.85 119.31
-2047.52 -25076.44 24.0499
-2052.48 -25076.53 33.7998
-2024.21 -25070.63 37.0547
-2228.16 -25030.73 54.6876
-2158.38 -25060.62 24.9693
-2031.41 -25148.62 28.416
-2007.28 -25099.79 26.376
-2033.6 -25117.93 51.5898
-2050.29 -25099.68 21.1574
-2181.21 -25057.79 36.3411
-2046.37 -25103.56 25.4416
-2068.41 -25112.28 35.2145
-2033.04 -25134.67 35.3585
-2184.49 -25055.85 53.0627
-2066.26 -25099.62 103.4776
-2160.68 -25010.21 29.9274
-2027.76 -25090.13 26.9976
-2203.72 -25036.98 24.5668
-2112.09 -25007.39 71.0251
-2045.35 -25093.45 14.5191
-2014.94 -25093.12 60.2135
-2025.06 -25093.61 30.4809
-2196.51 -25049.13 25.2618
-2122.01 -24999.53 75.7989
-2011.52 -25108.73 44.5668
-2169.0 -25056.0 14.083
-2009.05 -25121.51 18.093
-2054.77 -25120.35 51.3571
-2044.89 -25119.45 44.6788
-2064.95 -25134.47 36.1166
-2131.42 -25045.66 96.4138
-2166.73 -25024.67 52.081
-1999.11 -25121.2 14.1009
-2041.49 -25103.49 30.7438
-2229.9 -25029.56 27.938
-2191.39 -25051.83 34.3902
-2007.61 -25150.4 28.6542
-2053.7 -25096.75 29.6819
-2021.28 -25109.55 66.2649
-2172.0 -25055.0 32.448
-2018.89 -25099.64 25.9982
-2220.28 -25026.79 51.6067
-2050.25 -25134.31 85.1804
-2038.84 -25111.18 79.4837
-1995.99 -25051.02 41.157
-2200.19 -25022.46 33.609
-2120.43 -25023.06 41.8405
-2176.75 -25062.04 36.8607
-2143.33 -25013.45 74.0624
-2022.44 -25149.33 28.1266
-2207.18 -25015.5 16.2701
-2175.57 -25050.19 39.8682
-2000.66 -25081.52 45.8839
-2175.0 -25054.0 33.6458
-2195.96 -25042.87 36.7042
-2179.24 -25011.17 33.2069
-2196.57 -25025.44 37.0644
-2211.23 -25049.63 18.997
-2151.66 -25005.88 81.8602
-2184.58 -25034.07 32.4732
-2040.61 -25084.29 33.4041
-2149.08 -25040.15 44.9378
-2058.51 -25097.78 31.19
-2034.54 -25099.85 34.0657
-2154.45 -25002.47 62.0759
-2003.98 -25121.37 19.7054
-2215.9 -25028.81 45.1964
-2144.74 -25042.35 60.0102
-2058.48 -25090.8 65.0688
-2139.4 -25016.59 38.6539
